,YEAR_op,TIMESTAMP,TECHNOLOGIES,AREA,power_Dvar
0,2040,1,Existing SMR,Marseille,0.0
1,2040,1,Existing SMR,Alpin,0.0
2,2040,1,Onshore wind,Marseille,78.99695999999999
3,2040,1,Onshore wind,Alpin,0.0
4,2040,1,SMR,Marseille,0.0
5,2040,1,SMR,Alpin,0.0
6,2040,1,ElectrolysisM,Marseille,672.5131234869923
7,2040,1,ElectrolysisM,Alpin,0.0
8,2040,1,Offshore wind - floating,Marseille,0.0
9,2040,1,Offshore wind - floating,Alpin,0.0
10,2040,1,SMR + CCS2,Marseille,0.0
11,2040,1,SMR + CCS2,Alpin,0.0
12,2040,1,Ground PV,Marseille,0.0
13,2040,1,Ground PV,Alpin,0.0
14,2040,1,SMR + CCS1,Marseille,0.0
15,2040,1,SMR + CCS1,Alpin,0.0
16,2040,4101,Existing SMR,Marseille,380.89260548699235
17,2040,4101,Existing SMR,Alpin,0.0
18,2040,4101,Onshore wind,Marseille,17.87772
19,2040,4101,Onshore wind,Alpin,0.0
20,2040,4101,SMR,Marseille,0.0
21,2040,4101,SMR,Alpin,0.0
22,2040,4101,ElectrolysisM,Marseille,11.620518
23,2040,4101,ElectrolysisM,Alpin,0.0
24,2040,4101,Offshore wind - floating,Marseille,0.0
25,2040,4101,Offshore wind - floating,Alpin,0.0
26,2040,4101,SMR + CCS2,Marseille,0.0
27,2040,4101,SMR + CCS2,Alpin,0.0
28,2040,4101,Ground PV,Marseille,0.0
29,2040,4101,Ground PV,Alpin,0.0
30,2040,4101,SMR + CCS1,Marseille,280.0
31,2040,4101,SMR + CCS1,Alpin,0.0
32,2040,8201,Existing SMR,Marseille,391.68598662449233
33,2040,8201,Existing SMR,Alpin,0.0
34,2040,8201,Onshore wind,Marseille,1.27251825
35,2040,8201,Onshore wind,Alpin,0.0
36,2040,8201,SMR,Marseille,0.0
37,2040,8201,SMR,Alpin,0.0
38,2040,8201,ElectrolysisM,Marseille,0.8271368625000001
39,2040,8201,ElectrolysisM,Alpin,0.0
40,2040,8201,Offshore wind - floating,Marseille,0.0
41,2040,8201,Offshore wind - floating,Alpin,0.0
42,2040,8201,SMR + CCS2,Marseille,0.0
43,2040,8201,SMR + CCS2,Alpin,0.0
44,2040,8201,Ground PV,Marseille,0.0
45,2040,8201,Ground PV,Alpin,0.0
46,2040,8201,SMR + CCS1,Marseille,280.0
47,2040,8201,SMR + CCS1,Alpin,0.0
48,2040,3601,Existing SMR,Marseille,309.07667948699225
49,2040,3601,Existing SMR,Alpin,0.0
50,2040,3601,Onshore wind,Marseille,128.36376
51,2040,3601,Onshore wind,Alpin,0.0
52,2040,3601,SMR,Marseille,0.0
53,2040,3601,SMR,Alpin,0.0
54,2040,3601,ElectrolysisM,Marseille,83.43644400000002
55,2040,3601,ElectrolysisM,Alpin,0.0
56,2040,3601,Offshore wind - floating,Marseille,0.0
57,2040,3601,Offshore wind - floating,Alpin,0.0
58,2040,3601,SMR + CCS2,Marseille,0.0
59,2040,3601,SMR + CCS2,Alpin,0.0
60,2040,3601,Ground PV,Marseille,0.0
61,2040,3601,Ground PV,Alpin,0.0
62,2040,3601,SMR + CCS1,Marseille,280.0
63,2040,3601,SMR + CCS1,Alpin,0.0
64,2040,7701,Existing SMR,Marseille,309.07667948699225
65,2040,7701,Existing SMR,Alpin,0.0
66,2040,7701,Onshore wind,Marseille,128.36376
67,2040,7701,Onshore wind,Alpin,0.0
68,2040,7701,SMR,Marseille,0.0
69,2040,7701,SMR,Alpin,0.0
70,2040,7701,ElectrolysisM,Marseille,83.43644400000002
71,2040,7701,ElectrolysisM,Alpin,0.0
72,2040,7701,Offshore wind - floating,Marseille,0.0
73,2040,7701,Offshore wind - floating,Alpin,0.0
74,2040,7701,SMR + CCS2,Marseille,0.0
75,2040,7701,SMR + CCS2,Alpin,0.0
76,2040,7701,Ground PV,Marseille,0.0
77,2040,7701,Ground PV,Alpin,0.0
78,2040,7701,SMR + CCS1,Marseille,280.0
79,2040,7701,SMR + CCS1,Alpin,0.0
80,2040,3101,Existing SMR,Marseille,0.0
81,2040,3101,Existing SMR,Alpin,0.0
82,2040,3101,Onshore wind,Marseille,13.3677975
83,2040,3101,Onshore wind,Alpin,0.0
84,2040,3101,SMR,Marseille,0.0
85,2040,3101,SMR,Alpin,0.0
86,2040,3101,ElectrolysisM,Marseille,675.1469462793772
87,2040,3101,ElectrolysisM,Alpin,0.0
88,2040,3101,Offshore wind - floating,Marseille,0.0
89,2040,3101,Offshore wind - floating,Alpin,0.0
90,2040,3101,SMR + CCS2,Marseille,0.0
91,2040,3101,SMR + CCS2,Alpin,0.0
92,2040,3101,Ground PV,Marseille,0.0
93,2040,3101,Ground PV,Alpin,0.0
94,2040,3101,SMR + CCS1,Marseille,0.0
95,2040,3101,SMR + CCS1,Alpin,0.0
96,2040,7201,Existing SMR,Marseille,0.0
97,2040,7201,Existing SMR,Alpin,0.0
98,2040,7201,Onshore wind,Marseille,1.3704041999999999
99,2040,7201,Onshore wind,Alpin,0.0
100,2040,7201,SMR,Marseille,0.0
101,2040,7201,SMR,Alpin,0.0
102,2040,7201,ElectrolysisM,Marseille,675.1469462793772
103,2040,7201,ElectrolysisM,Alpin,0.0
104,2040,7201,Offshore wind - floating,Marseille,0.0
105,2040,7201,Offshore wind - floating,Alpin,0.0
106,2040,7201,SMR + CCS2,Marseille,0.0
107,2040,7201,SMR + CCS2,Alpin,0.0
108,2040,7201,Ground PV,Marseille,0.0
109,2040,7201,Ground PV,Alpin,0.0
110,2040,7201,SMR + CCS1,Marseille,0.0
111,2040,7201,SMR + CCS1,Alpin,0.0
112,2040,2601,Existing SMR,Marseille,327.4774579446074
113,2040,2601,Existing SMR,Alpin,0.0
114,2040,2601,Onshore wind,Marseille,96.002835
115,2040,2601,Onshore wind,Alpin,0.0
116,2040,2601,SMR,Marseille,0.0
117,2040,2601,SMR,Alpin,0.0
118,2040,2601,ElectrolysisM,Marseille,62.40184275000001
119,2040,2601,ElectrolysisM,Alpin,0.0
120,2040,2601,Offshore wind - floating,Marseille,0.0
121,2040,2601,Offshore wind - floating,Alpin,0.0
122,2040,2601,SMR + CCS2,Marseille,0.0
123,2040,2601,SMR + CCS2,Alpin,0.0
124,2040,2601,Ground PV,Marseille,0.0
125,2040,2601,Ground PV,Alpin,0.0
126,2040,2601,SMR + CCS1,Marseille,280.0
127,2040,2601,SMR + CCS1,Alpin,0.0
128,2040,6701,Existing SMR,Marseille,390.9648927119923
129,2040,6701,Existing SMR,Alpin,0.0
130,2040,6701,Onshore wind,Marseille,2.3818935
131,2040,6701,Onshore wind,Alpin,0.0
132,2040,6701,SMR,Marseille,0.0
133,2040,6701,SMR,Alpin,0.0
134,2040,6701,ElectrolysisM,Marseille,1.5482307750000002
135,2040,6701,ElectrolysisM,Alpin,0.0
136,2040,6701,Offshore wind - floating,Marseille,0.0
137,2040,6701,Offshore wind - floating,Alpin,0.0
138,2040,6701,SMR + CCS2,Marseille,0.0
139,2040,6701,SMR + CCS2,Alpin,0.0
140,2040,6701,Ground PV,Marseille,0.0
141,2040,6701,Ground PV,Alpin,0.0
142,2040,6701,SMR + CCS1,Marseille,280.0
143,2040,6701,SMR + CCS1,Alpin,0.0
144,2040,2101,Existing SMR,Marseille,389.3702933646074
145,2040,2101,Existing SMR,Alpin,0.0
146,2040,2101,Onshore wind,Marseille,0.7830882000000001
147,2040,2101,Onshore wind,Alpin,0.0
148,2040,2101,SMR,Marseille,0.0
149,2040,2101,SMR,Alpin,0.0
150,2040,2101,ElectrolysisM,Marseille,0.5090073300000001
151,2040,2101,ElectrolysisM,Alpin,0.0
152,2040,2101,Offshore wind - floating,Marseille,0.0
153,2040,2101,Offshore wind - floating,Alpin,0.0
154,2040,2101,SMR + CCS2,Marseille,0.0
155,2040,2101,SMR + CCS2,Alpin,0.0
156,2040,2101,Ground PV,Marseille,0.0
157,2040,2101,Ground PV,Alpin,0.0
158,2040,2101,SMR + CCS1,Marseille,280.0
159,2040,2101,SMR + CCS1,Alpin,0.0
160,2040,6201,Existing SMR,Marseille,339.0027671946074
161,2040,6201,Existing SMR,Alpin,0.0
162,2040,6201,Onshore wind,Marseille,78.27159
163,2040,6201,Onshore wind,Alpin,0.0
164,2040,6201,SMR,Marseille,0.0
165,2040,6201,SMR,Alpin,0.0
166,2040,6201,ElectrolysisM,Marseille,50.87653350000001
167,2040,6201,ElectrolysisM,Alpin,0.0
168,2040,6201,Offshore wind - floating,Marseille,0.0
169,2040,6201,Offshore wind - floating,Alpin,0.0
170,2040,6201,SMR + CCS2,Marseille,0.0
171,2040,6201,SMR + CCS2,Alpin,0.0
172,2040,6201,Ground PV,Marseille,0.0
173,2040,6201,Ground PV,Alpin,0.0
174,2040,6201,SMR + CCS1,Marseille,280.0
175,2040,6201,SMR + CCS1,Alpin,0.0
176,2040,1601,Existing SMR,Marseille,0.0
177,2040,1601,Existing SMR,Alpin,0.0
178,2040,1601,Onshore wind,Marseille,78.27159
179,2040,1601,Onshore wind,Alpin,0.0
180,2040,1601,SMR,Marseille,0.0
181,2040,1601,SMR,Alpin,0.0
182,2040,1601,ElectrolysisM,Marseille,672.5131234869923
183,2040,1601,ElectrolysisM,Alpin,0.0
184,2040,1601,Offshore wind - floating,Marseille,0.0
185,2040,1601,Offshore wind - floating,Alpin,0.0
186,2040,1601,SMR + CCS2,Marseille,0.0
187,2040,1601,SMR + CCS2,Alpin,0.0
188,2040,1601,Ground PV,Marseille,0.0
189,2040,1601,Ground PV,Alpin,0.0
190,2040,1601,SMR + CCS1,Marseille,0.0
191,2040,1601,SMR + CCS1,Alpin,0.0
192,2040,5701,Existing SMR,Marseille,0.0
193,2040,5701,Existing SMR,Alpin,0.0
194,2040,5701,Onshore wind,Marseille,52.956315
195,2040,5701,Onshore wind,Alpin,0.0
196,2040,5701,SMR,Marseille,0.0
197,2040,5701,SMR,Alpin,0.0
198,2040,5701,ElectrolysisM,Marseille,675.1469462793772
199,2040,5701,ElectrolysisM,Alpin,0.0
200,2040,5701,Offshore wind - floating,Marseille,0.0
201,2040,5701,Offshore wind - floating,Alpin,0.0
202,2040,5701,SMR + CCS2,Marseille,0.0
203,2040,5701,SMR + CCS2,Alpin,0.0
204,2040,5701,Ground PV,Marseille,0.0
205,2040,5701,Ground PV,Alpin,0.0
206,2040,5701,SMR + CCS1,Marseille,0.0
207,2040,5701,SMR + CCS1,Alpin,0.0
208,2040,1101,Existing SMR,Marseille,311.73926362427005
209,2040,1101,Existing SMR,Alpin,0.0
210,2040,1101,Onshore wind,Marseille,128.36376
211,2040,1101,Onshore wind,Alpin,0.0
212,2040,1101,SMR,Marseille,0.0
213,2040,1101,SMR,Alpin,0.0
214,2040,1101,ElectrolysisM,Marseille,83.40768265510717
215,2040,1101,ElectrolysisM,Alpin,0.0
216,2040,1101,Offshore wind - floating,Marseille,0.0
217,2040,1101,Offshore wind - floating,Alpin,0.0
218,2040,1101,SMR + CCS2,Marseille,0.0
219,2040,1101,SMR + CCS2,Alpin,0.0
220,2040,1101,Ground PV,Marseille,0.0
221,2040,1101,Ground PV,Alpin,0.0
222,2040,1101,SMR + CCS1,Marseille,280.0
223,2040,1101,SMR + CCS1,Alpin,0.0
224,2040,5201,Existing SMR,Marseille,0.0
225,2040,5201,Existing SMR,Alpin,0.0
226,2040,5201,Onshore wind,Marseille,18.331395
