,YEAR_op,TIMESTAMP,AREA,carbon_Pvar
0,2040,1,Marseille,0.0
1,2040,1,Alpin,0.0
2,2040,4101,Marseille,132442.7370605623
3,2040,4101,Alpin,0.0
4,2040,8201,Marseille,135254.4263592055
5,2040,8201,Alpin,0.0
6,2040,3601,Marseille,113734.59843060146
7,2040,3601,Alpin,0.0
8,2040,7701,Marseille,113734.59843060144
9,2040,7701,Alpin,0.0
10,2040,3101,Marseille,0.0
11,2040,3101,Alpin,0.0
12,2040,7201,Marseille,0.0
13,2040,7201,Alpin,0.0
14,2040,2601,Marseille,118528.02425489927
15,2040,2601,Alpin,0.0
16,2040,6701,Marseille,135066.58049225574
17,2040,6701,Alpin,0.0
18,2040,2101,Marseille,134651.18536596966
19,2040,2101,Alpin,0.0
20,2040,6201,Marseille,121530.38174315568
21,2040,6201,Alpin,0.0
22,2040,1601,Marseille,11476.367815144471
23,2040,1601,Alpin,0.0
24,2040,5701,Marseille,1971.5510857669844
25,2040,5701,Alpin,0.0
26,2040,1101,Marseille,114428.20493167375
27,2040,1101,Alpin,0.0
28,2040,5201,Marseille,0.0
29,2040,5201,Alpin,0.0
30,2040,601,Marseille,128472.92637595093
31,2040,601,Alpin,0.0
32,2040,4701,Marseille,126002.72689070574
33,2040,4701,Alpin,0.0
34,2040,101,Marseille,121340.31606816055
35,2040,101,Alpin,0.0
36,2040,4201,Marseille,113048.48429588033
37,2040,4201,Alpin,0.0
38,2040,8301,Marseille,135166.0282518785
39,2040,8301,Alpin,0.0
40,2040,3701,Marseille,0.0
41,2040,3701,Alpin,0.0
42,2040,7801,Marseille,123850.18688726565
43,2040,7801,Alpin,0.0
44,2040,3201,Marseille,134723.0087789625
45,2040,3201,Alpin,0.0
46,2040,7301,Marseille,134374.94159488386
47,2040,7301,Alpin,0.0
48,2040,2701,Marseille,1032.2210530953728
49,2040,2701,Alpin,0.0
50,2040,6801,Marseille,117283.4338059372
51,2040,6801,Alpin,0.0
52,2040,2201,Marseille,0.0
53,2040,2201,Alpin,0.0
54,2040,6301,Marseille,2051.6219887669845
55,2040,6301,Alpin,0.0
56,2040,1701,Marseille,118108.29943884071
57,2040,1701,Alpin,0.0
58,2040,5801,Marseille,2023.5195591907454
59,2040,5801,Alpin,0.0
