TIMESTAMP,Calendrier,HTB
367,HCH,15.3
368,HPH,18
369,HPH,18
370,P,21.8
371,P,21.8
372,HPH,18
373,HPH,18
374,HPH,18
375,HPH,18
376,HPH,18
377,HPH,18
378,HPH,18
379,P,21.8
380,P,21.8
381,HPH,18
382,HPH,18
383,HPH,18
384,HCH,15.3
385,HCH,15.3
386,HCH,15.3
387,HCH,15.3
388,HCH,15.3
389,HCH,15.3
390,HCH,15.3
391,HCH,15.3
392,HPH,18
393,HPH,18
394,P,21.8
395,P,21.8
396,HPH,18
397,HPH,18
398,HPH,18
399,HPH,18
400,HPH,18
401,HPH,18
402,HPH,18
403,P,21.8
404,P,21.8
405,HPH,18
406,HPH,18
407,HPH,18
408,HCH,15.3
409,HCH,15.3
410,HCH,15.3
411,HCH,15.3
412,HCH,15.3
413,HCH,15.3
414,HCH,15.3
415,HCH,15.3
416,HPH,18
417,HPH,18
418,P,21.8
419,P,21.8
420,HPH,18
421,HPH,18
422,HPH,18
423,HPH,18
424,HPH,18
425,HPH,18
426,HPH,18
427,P,21.8
428,P,21.8
429,HPH,18
430,HPH,18
431,HPH,18
432,HCH,15.3
433,HCH,15.3
434,HCH,15.3
435,HCH,15.3
436,HCH,15.3
437,HCH,15.3
438,HCH,15.3
439,HCH,15.3
440,HPH,18
441,HPH,18
442,P,21.8
443,P,21.8
444,HPH,18
445,HPH,18
446,HPH,18
447,HPH,18
448,HPH,18
449,HPH,18
450,HPH,18
451,P,21.8
452,P,21.8
453,HPH,18
454,HPH,18
455,HPH,18
456,HCH,15.3
457,HCH,15.3
458,HCH,15.3
459,HCH,15.3
460,HCH,15.3
461,HCH,15.3
462,HCH,15.3
463,HCH,15.3
464,HPH,18
465,HPH,18
466,P,21.8
467,P,21.8
468,HPH,18
469,HPH,18
470,HPH,18
471,HPH,18
472,HPH,18
473,HPH,18
474,HPH,18
475,P,21.8
476,P,21.8
477,HPH,18
478,HPH,18
479,HPH,18
480,HCH,15.3
481,HCH,15.3
482,HCH,15.3
483,HCH,15.3
484,HCH,15.3
485,HCH,15.3
486,HCH,15.3
487,HCH,15.3
488,HPH,18
489,HPH,18
490,P,21.8
491,P,21.8
492,HPH,18
493,HPH,18
494,HPH,18
495,HPH,18
496,HPH,18
497,HPH,18
498,HPH,18
499,P,21.8
500,P,21.8
501,HPH,18
502,HPH,18
503,HPH,18
504,HCH,15.3
505,HCH,15.3
506,HCH,15.3
507,HCH,15.3
508,HCH,15.3
509,HCH,15.3
510,HCH,15.3
511,HCH,15.3
512,HPH,18
513,HPH,18
514,P,21.8
515,P,21.8
516,HPH,18
517,HPH,18
518,HPH,18
519,HPH,18
520,HPH,18
521,HPH,18
522,HPH,18
523,P,21.8
524,P,21.8
525,HPH,18
526,HPH,18
527,HPH,18
528,HCH,15.3
529,HCH,15.3
530,HCH,15.3
531,HCH,15.3
532,HCH,15.3
533,HCH,15.3
534,HCH,15.3
535,HCH,15.3
536,HPH,18
537,HPH,18
538,P,21.8
539,P,21.8
540,HPH,18
541,HPH,18
542,HPH,18
543,HPH,18
544,HPH,18
545,HPH,18
546,HPH,18
547,P,21.8
548,P,21.8
549,HPH,18
550,HPH,18
551,HPH,18
552,HCH,15.3
553,HCH,15.3
554,HCH,15.3
555,HCH,15.3
556,HCH,15.3
557,HCH,15.3
558,HCH,15.3
559,HCH,15.3
560,HPH,18
561,HPH,18
562,P,21.8
563,P,21.8
564,HPH,18
565,HPH,18
566,HPH,18
567,HPH,18
568,HPH,18
569,HPH,18
570,HPH,18
571,P,21.8
572,P,21.8
573,HPH,18
574,HPH,18
575,HPH,18
576,HCH,15.3
577,HCH,15.3
578,HCH,15.3
579,HCH,15.3
580,HCH,15.3
581,HCH,15.3
582,HCH,15.3
583,HCH,15.3
584,HPH,18
585,HPH,18
586,P,21.8
587,P,21.8
588,HPH,18
589,HPH,18
590,HPH,18
591,HPH,18
592,HPH,18
593,HPH,18
594,HPH,18
595,P,21.8
596,P,21.8
597,HPH,18
598,HPH,18
599,HPH,18
600,HCH,15.3
601,HCH,15.3
602,HCH,15.3
603,HCH,15.3
604,HCH,15.3
605,HCH,15.3
606,HCH,15.3
607,HCH,15.3
608,HPH,18
609,HPH,18
610,P,21.8
611,P,21.8
612,HPH,18
613,HPH,18
614,HPH,18
615,HPH,18
616,HPH,18
617,HPH,18
618,HPH,18
619,P,21.8
620,P,21.8
621,HPH,18
622,HPH,18
623,HPH,18
624,HCH,15.3
625,HCH,15.3
626,HCH,15.3
627,HCH,15.3
628,HCH,15.3
629,HCH,15.3
630,HCH,15.3
631,HCH,15.3
632,HPH,18
633,HPH,18
634,P,21.8
635,P,21.8
636,HPH,18
637,HPH,18
638,HPH,18
639,HPH,18
640,HPH,18
641,HPH,18
642,HPH,18
643,P,21.8
644,P,21.8
645,HPH,18
646,HPH,18
647,HPH,18
648,HCH,15.3
649,HCH,15.3
650,HCH,15.3
651,HCH,15.3
652,HCH,15.3
653,HCH,15.3
654,HCH,15.3
655,HCH,15.3
656,HPH,18
657,HPH,18
658,P,21.8
659,P,21.8
660,HPH,18
661,HPH,18
662,HPH,18
663,HPH,18
664,HPH,18
665,HPH,18
666,HPH,18
667,P,21.8
668,P,21.8
669,HPH,18
670,HPH,18
671,HPH,18
672,HCH,15.3
673,HCH,15.3
674,HCH,15.3
675,HCH,15.3
676,HCH,15.3
677,HCH,15.3
678,HCH,15.3
679,HCH,15.3
680,HPH,18
681,HPH,18
682,P,21.8
683,P,21.8
684,HPH,18
685,HPH,18
686,HPH,18
687,HPH,18
688,HPH,18
689,HPH,18
690,HPH,18
691,P,21.8
692,P,21.8
693,HPH,18
694,HPH,18
695,HPH,18
696,HCH,15.3
697,HCH,15.3
698,HCH,15.3
699,HCH,15.3
700,HCH,15.3
701,HCH,15.3
702,HCH,15.3
703,HCH,15.3
704,HPH,18
705,HPH,18
706,P,21.8
707,P,21.8
708,HPH,18
709,HPH,18
710,HPH,18
711,HPH,18
712,HPH,18
713,HPH,18
714,HPH,18
715,P,21.8
716,P,21.8
717,HPH,18
718,HPH,18
719,HPH,18
720,HCH,15.3
721,HCH,15.3
722,HCH,15.3
723,HCH,15.3
724,HCH,15.3
725,HCH,15.3
726,HCH,15.3
727,HCH,15.3
728,HPH,18
729,HPH,18
730,P,21.8
731,P,21.8
732,HPH,18
733,HPH,18
734,HPH,18
735,HPH,18
736,HPH,18
737,HPH,18
738,HPH,18
739,P,21.8
740,P,21.8
741,HPH,18
742,HPH,18
743,HPH,18
744,HCH,15.3
745,HCH,15.3
746,HCH,15.3
747,HCH,15.3
748,HCH,15.3
749,HCH,15.3
750,HCH,15.3
751,HCH,15.3
752,HPH,18
753,HPH,18
754,P,21.8
755,P,21.8
756,HPH,18
757,HPH,18
758,HPH,18
759,HPH,18
760,HPH,18
761,HPH,18
762,HPH,18
763,P,21.8
764,P,21.8
765,HPH,18
766,HPH,18
767,HPH,18
768,HCH,15.3
769,HCH,15.3
770,HCH,15.3
771,HCH,15.3
772,HCH,15.3
773,HCH,15.3
774,HCH,15.3
775,HCH,15.3
776,HPH,18
777,HPH,18
778,P,21.8
779,P,21.8
780,HPH,18
781,HPH,18
782,HPH,18
783,HPH,18
784,HPH,18
785,HPH,18
786,HPH,18
787,P,21.8
788,P,21.8
789,HPH,18
790,HPH,18
791,HPH,18
792,HCH,15.3
793,HCH,15.3
794,HCH,15.3
795,HCH,15.3
796,HCH,15.3
797,HCH,15.3
798,HCH,15.3
799,HCH,15.3
800,HPH,18
801,HPH,18
802,P,21.8
803,P,21.8
804,HPH,18
805,HPH,18
806,HPH,18
807,HPH,18
808,HPH,18
809,HPH,18
810,HPH,18
811,P,21.8
812,P,21.8
813,HPH,18
814,HPH,18
815,HPH,18
816,HCH,15.3
817,HCH,15.3
818,HCH,15.3
819,HCH,15.3
820,HCH,15.3
821,HCH,15.3
822,HCH,15.3
823,HCH,15.3
824,HPH,18
825,HPH,18
826,P,21.8
827,P,21.8
828,HPH,18
829,HPH,18
830,HPH,18
831,HPH,18
832,HPH,18
833,HPH,18
834,HPH,18
835,P,21.8
836,P,21.8
837,HPH,18
838,HPH,18
839,HPH,18
840,HCH,15.3
841,HCH,15.3
842,HCH,15.3
843,HCH,15.3
844,HCH,15.3
845,HCH,15.3
846,HCH,15.3
847,HCH,15.3
848,HPH,18
849,HPH,18
850,P,21.8
851,P,21.8
852,HPH,18
853,HPH,18
854,HPH,18
855,HPH,18
856,HPH,18
857,HPH,18
858,HPH,18
859,P,21.8
860,P,21.8
861,HPH,18
862,HPH,18
863,HPH,18
864,HCH,15.3
865,HCH,15.3
866,HCH,15.3
867,HCH,15.3
868,HCH,15.3
869,HCH,15.3
870,HCH,15.3
871,HCH,15.3
872,HPH,18
873,HPH,18
874,P,21.8
875,P,21.8
876,HPH,18
877,HPH,18
878,HPH,18
879,HPH,18
880,HPH,18
881,HPH,18
882,HPH,18
883,P,21.8
884,P,21.8
885,HPH,18
886,HPH,18
887,HPH,18
888,HCH,15.3
889,HCH,15.3
890,HCH,15.3
891,HCH,15.3
892,HCH,15.3
893,HCH,15.3
894,HCH,15.3
895,HCH,15.3
896,HPH,18
897,HPH,18
898,P,21.8
899,P,21.8
900,HPH,18
901,HPH,18
902,HPH,18
903,HPH,18
904,HPH,18
905,HPH,18
906,HPH,18
907,P,21.8
908,P,21.8
909,HPH,18
910,HPH,18
911,HPH,18
912,HCH,15.3
913,HCH,15.3
914,HCH,15.3
915,HCH,15.3
916,HCH,15.3
917,HCH,15.3
918,HCH,15.3
919,HCH,15.3
920,HPH,18
921,HPH,18
922,P,21.8
923,P,21.8
924,HPH,18
925,HPH,18
926,HPH,18
927,HPH,18
928,HPH,18
929,HPH,18
930,HPH,18
931,P,21.8
932,P,21.8
933,HPH,18
934,HPH,18
935,HPH,18
936,HCH,15.3
937,HCH,15.3
938,HCH,15.3
939,HCH,15.3
940,HCH,15.3
941,HCH,15.3
942,HCH,15.3
943,HCH,15.3
944,HPH,18
945,HPH,18
946,P,21.8
947,P,21.8
948,HPH,18
949,HPH,18
950,HPH,18
951,HPH,18
952,HPH,18
953,HPH,18
954,HPH,18
955,P,21.8
956,P,21.8
957,HPH,18
958,HPH,18
959,HPH,18
960,HCH,15.3
961,HCH,15.3
962,HCH,15.3
963,HCH,15.3
964,HCH,15.3
965,HCH,15.3
966,HCH,15.3
967,HCH,15.3
968,HPH,18
969,HPH,18
970,P,21.8
971,P,21.8
972,HPH,18
973,HPH,18
974,HPH,18
975,HPH,18
976,HPH,18
977,HPH,18
978,HPH,18
979,P,21.8
980,P,21.8
981,HPH,18
982,HPH,18
983,HPH,18
984,HCH,15.3
985,HCH,15.3
986,HCH,15.3
987,HCH,15.3
988,HCH,15.3
989,HCH,15.3
990,HCH,15.3
991,HCH,15.3
992,HPH,18
993,HPH,18
