TIMESTAMP,Calendrier,HTB
1,HCH,10.1
2,HCH,10.1
3,HCH,10.1
4,HCH,10.1
5,HCH,10.1
6,HCH,10.1
7,HCH,10.1
8,HPH,13.8
9,HPH,13.8
10,P,16.4
11,P,16.4
12,HPH,13.8
13,HPH,13.8
14,HPH,13.8
15,HPH,13.8
16,HPH,13.8
17,HPH,13.8
18,HPH,13.8
19,P,16.4
20,P,16.4
21,HPH,13.8
22,HPH,13.8
23,HPH,13.8
24,HCH,10.1
25,HCH,10.1
26,HCH,10.1
27,HCH,10.1
28,HCH,10.1
29,HCH,10.1
30,HCH,10.1
31,HCH,10.1
32,HPH,13.8
33,HPH,13.8
34,P,16.4
35,P,16.4
36,HPH,13.8
37,HPH,13.8
38,HPH,13.8
39,HPH,13.8
40,HPH,13.8
41,HPH,13.8
42,HPH,13.8
43,P,16.4
44,P,16.4
45,HPH,13.8
46,HPH,13.8
47,HPH,13.8
48,HCH,10.1
49,HCH,10.1
50,HCH,10.1
51,HCH,10.1
52,HCH,10.1
53,HCH,10.1
54,HCH,10.1
55,HCH,10.1
56,HPH,13.8
57,HPH,13.8
58,P,16.4
59,P,16.4
60,HPH,13.8
61,HPH,13.8
62,HPH,13.8
63,HPH,13.8
64,HPH,13.8
65,HPH,13.8
66,HPH,13.8
67,P,16.4
68,P,16.4
69,HPH,13.8
70,HPH,13.8
71,HPH,13.8
72,HCH,10.1
73,HCH,10.1
74,HCH,10.1
75,HCH,10.1
76,HCH,10.1
77,HCH,10.1
78,HCH,10.1
79,HCH,10.1
80,HPH,13.8
81,HPH,13.8
82,P,16.4
83,P,16.4
84,HPH,13.8
85,HPH,13.8
86,HPH,13.8
87,HPH,13.8
88,HPH,13.8
89,HPH,13.8
90,HPH,13.8
91,P,16.4
92,P,16.4
93,HPH,13.8
94,HPH,13.8
95,HPH,13.8
96,HCH,10.1
97,HCH,10.1
98,HCH,10.1
99,HCH,10.1
100,HCH,10.1
101,HCH,10.1
102,HCH,10.1
103,HCH,10.1
104,HPH,13.8
105,HPH,13.8
106,P,16.4
107,P,16.4
108,HPH,13.8
109,HPH,13.8
110,HPH,13.8
111,HPH,13.8
112,HPH,13.8
113,HPH,13.8
114,HPH,13.8
115,P,16.4
116,P,16.4
117,HPH,13.8
118,HPH,13.8
119,HPH,13.8
120,HCH,10.1
121,HCH,10.1
122,HCH,10.1
123,HCH,10.1
124,HCH,10.1
125,HCH,10.1
126,HCH,10.1
127,HCH,10.1
128,HPH,13.8
129,HPH,13.8
130,P,16.4
131,P,16.4
132,HPH,13.8
133,HPH,13.8
134,HPH,13.8
135,HPH,13.8
136,HPH,13.8
137,HPH,13.8
138,HPH,13.8
139,P,16.4
140,P,16.4
141,HPH,13.8
142,HPH,13.8
143,HPH,13.8
144,HCH,10.1
145,HCH,10.1
146,HCH,10.1
147,HCH,10.1
148,HCH,10.1
149,HCH,10.1
150,HCH,10.1
151,HCH,10.1
152,HPH,13.8
153,HPH,13.8
154,P,16.4
155,P,16.4
156,HPH,13.8
157,HPH,13.8
158,HPH,13.8
159,HPH,13.8
160,HPH,13.8
161,HPH,13.8
162,HPH,13.8
163,P,16.4
164,P,16.4
165,HPH,13.8
166,HPH,13.8
167,HPH,13.8
168,HCH,10.1
169,HCH,10.1
170,HCH,10.1
171,HCH,10.1
172,HCH,10.1
173,HCH,10.1
174,HCH,10.1
175,HCH,10.1
176,HPH,13.8
177,HPH,13.8
178,P,16.4
179,P,16.4
180,HPH,13.8
181,HPH,13.8
182,HPH,13.8
183,HPH,13.8
184,HPH,13.8
185,HPH,13.8
186,HPH,13.8
187,P,16.4
188,P,16.4
189,HPH,13.8
190,HPH,13.8
191,HPH,13.8
192,HCH,10.1
193,HCH,10.1
194,HCH,10.1
195,HCH,10.1
196,HCH,10.1
197,HCH,10.1
198,HCH,10.1
199,HCH,10.1
200,HPH,13.8
201,HPH,13.8
202,P,16.4
203,P,16.4
204,HPH,13.8
205,HPH,13.8
206,HPH,13.8
207,HPH,13.8
208,HPH,13.8
209,HPH,13.8
210,HPH,13.8
211,P,16.4
212,P,16.4
213,HPH,13.8
214,HPH,13.8
215,HPH,13.8
216,HCH,10.1
217,HCH,10.1
218,HCH,10.1
219,HCH,10.1
220,HCH,10.1
221,HCH,10.1
222,HCH,10.1
223,HCH,10.1
224,HPH,13.8
225,HPH,13.8
226,P,16.4
227,P,16.4
228,HPH,13.8
229,HPH,13.8
230,HPH,13.8
231,HPH,13.8
232,HPH,13.8
233,HPH,13.8
234,HPH,13.8
235,P,16.4
236,P,16.4
237,HPH,13.8
238,HPH,13.8
239,HPH,13.8
240,HCH,10.1
241,HCH,10.1
242,HCH,10.1
243,HCH,10.1
244,HCH,10.1
245,HCH,10.1
246,HCH,10.1
247,HCH,10.1
248,HPH,13.8
249,HPH,13.8
250,P,16.4
251,P,16.4
252,HPH,13.8
253,HPH,13.8
254,HPH,13.8
255,HPH,13.8
256,HPH,13.8
257,HPH,13.8
258,HPH,13.8
259,P,16.4
260,P,16.4
261,HPH,13.8
262,HPH,13.8
263,HPH,13.8
264,HCH,10.1
265,HCH,10.1
266,HCH,10.1
267,HCH,10.1
268,HCH,10.1
269,HCH,10.1
270,HCH,10.1
271,HCH,10.1
272,HPH,13.8
273,HPH,13.8
274,P,16.4
275,P,16.4
276,HPH,13.8
277,HPH,13.8
278,HPH,13.8
279,HPH,13.8
280,HPH,13.8
281,HPH,13.8
282,HPH,13.8
283,P,16.4
284,P,16.4
285,HPH,13.8
286,HPH,13.8
287,HPH,13.8
288,HCH,10.1
289,HCH,10.1
290,HCH,10.1
291,HCH,10.1
292,HCH,10.1
293,HCH,10.1
294,HCH,10.1
295,HCH,10.1
296,HPH,13.8
297,HPH,13.8
298,P,16.4
299,P,16.4
300,HPH,13.8
301,HPH,13.8
302,HPH,13.8
303,HPH,13.8
304,HPH,13.8
305,HPH,13.8
306,HPH,13.8
307,P,16.4
